Reference Title,Title,Source Type,AP/TS,Name,AKA,Definition,Code Example,Causes / Effects,Frequency
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Anonymous Test,"Unclear Naming, Naming Convention Violation",The test name is meaningless and does not reveal the intent of it.,FALSO,FALSO,VERDADEIRO
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,Anonymous Test,,Test-methods having a meaningless name,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Anonymous Test,,A test method with a meaningless and unclear method name,FALSO,FALSO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Anonymous test case,,where we cannot tell from the test name what is being tested,FALSO,FALSO,FALSO
https://orbilu.uni.lu/handle/10993/48254,On the Maintenance of System User Interactive Tests,thesis,Test Smell,Army of Clones,,"Different tests perform and implement similar actions, leading to duplicated pieces of test code",FALSO,VERDADEIRO,VERDADEIRO
https://arxiv.org/abs/2111.02317,Smells in System User Interactive Tests,technical paper/manuscript,Test Smell,Army of Clones,,"Different tests perform and implement similar actions, leading to duplicated pieces of test code",FALSO,VERDADEIRO,VERDADEIRO
https://blogs.sap.com/2013/02/14/abap-assertion-anti-patterns/,Abap assertion anti-patterns,webpage,Anti-pattern,ASSERT 1 = 2,,A case of developer simply yanking on the emergency brake whenever the code has dropped into a state that they didn’t know how to handle.,FALSO,VERDADEIRO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Assert the world,,"where the assertions prove everything, even uninteresting stuff.",FALSO,FALSO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Assertion Chorus,missing custom assertion method,where a series of assertions repetitively perform a long winded routine to test something.,FALSO,FALSO,FALSO
https://arxiv.org/abs/2003.05613,A survey on test practitioners' awareness of test smells,paper,Test Smell,Assertion Roulette,,"It occurs when tests present assertions with no explanation in test methods. If one of those assertions fails, it is not possible to identify which one caused the problem;",FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/document/6405253,An empirical analysis of the distribution of unit test smells and their impact on software maintenance,paper,Test Smell,Assertion Roulette,,Several assertions with no explanation within the same test method,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/2970276.2970340,An empirical investigation into the nature of test smells,article,Test Smell,Assertion Roulette,,"As defined by van Deursen et al. this smell comes from having a number of assertions in a test method that have no explanation [42]. Thus, if an assertion fails, the  identification of the assert that failed can be difficult.",FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/document/7890581,An Empirical Study into the Relationship Between Class Features and Test Smells,paper,Test Smell,Assertion Roulette,,Test method having more than one assertion.,FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/abstract/document/8847402/,An exploratory study of the relationship between software test smells and fault-proneness,article,Test Smell,Assertion Roulette,,Several assertions with no explanation within the same test method,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3387940.3392189,An Exploratory Study on the Refactoring of Unit Test Files in Android Applications,paper,Test Smell,Assertion Roulette,,A test method contains more than one assertion statement without an explanation/message (parameter in the assertion method),FALSO,FALSO,FALSO
https://link.springer.com/article/10.1007/s10664-014-9313-0,Are test smells really harmful? An empirical study,article,Test Smell,Assertion Roulette,,Several assertions with no explanation within the same test method,FALSO,VERDADEIRO,VERDADEIRO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Assertion Roulette,,"If there are many assertions in a test method, it becomes difficult to determine which one caused a test failure",FALSO,FALSO,VERDADEIRO
https://arxiv.org/abs/2107.13902,Developers perception on the severity of test smells: an empirical study,technical paper/manuscript,Test Smell,Assertion Roulette,,It occurs when a test method contains more than one assertion statement without an explanation or parameter in the assertion method,FALSO,FALSO,VERDADEIRO
https://lutpub.lut.fi/handle/10024/158751,Enhancing developers’ awareness on test suites’ quality with test smell summaries,thesis,Test Smell,Assertion Roulette,,A test method contains plenty of assertions without any explanation.,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3474624.3477066,Handling Test Smells in Python: Results from a Mixed-Method Study,paper,Test Smell,Assertion Roulette,,Multiple unexplained assertions in the same test method,FALSO,FALSO,FALSO
https://dl.acm.org/doi/abs/10.5555/1768961.1768982,Inspecting Automated Test Code: A Preliminary Study,paper,Test Smell,Assertion roulette,,"When a test case fails, you do not know which of the assertions is responsible for it",FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/abs/10.1145/3379597.3387453,Investigating Severity Thresholds for Test Smells,paper,Test Smell,Assertion Roulette,,A test that has multiple assertion statements that do not provide any description of why they failed,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3482909.3482915,Investigating Test Smells in JavaScript Test Code,paper,Test Smell,Assertion Roulette,,"A test method has multiple nondocumented assertions, making it difficult to identify which one causes a failure",FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/2897010.2897016,On the diffusion of test smells in automatically generated test code: an empirical study,paper,Test Smell,Assertion Roulette,,"As dened by Van Deursen et al., this smell comes from having a number of assertions in a test method that have no explanation. Thus, if an assertion fails, the identication of the assert that failed can be diffcult.",FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/document/9463091,"On the Distribution of ""Simple Stupid Bugs"" in Unit Test Files: An Exploratory Study",paper,Test Smell,Assertion Roulette,,A test method contains more than one assertion statement without an explanation/message (parameter in the assertion method),FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.5555/3370272.3370293,On the distribution of test smells in open source Android applications: an exploratory study,paper,Test Smell,Assertion Roulette,,Occurs when a test method has multiple nondocumented assertions.,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3350768.3350775,On the influence of Test Smells on Test Coverage,paper,Test Smell,Assertion Roulette,,"Occurs when a test method contains multiple non-documented assertions. Thus, if an assertion fails, it can be difficult to identify wich one failed",FALSO,FALSO,FALSO
https://link.springer.com/chapter/10.1007/978-3-540-76440-3_8,On the interplay between software testing and evolution and its effect on program comprehension,article,Test Smell,Assertion Roulette,,"You know something is wrong because your tests fail but it is unclear what. This smell comes from having a number of assertions in a single test method that do not have a distinct explanation. If one of the assertions fails, you do not know which one it is.",FALSO,VERDADEIRO,FALSO
https://ieeexplore.ieee.org/document/8529832,On the Relation of Test Smells to Software Code Quality,paper,Test Smell,Assertion Roulette,,A test that contains several assertions with no explanation,FALSO,FALSO,FALSO
https://dl.acm.org/doi/abs/10.1145/3482909.3482916,On the use of test smells for prediction of flaky tests,paper,Test Smell,Assertion Roulette,,"It occurs when a method has more than an assertion, so if one fails it is difficult to define which one.",FALSO,VERDADEIRO,VERDADEIRO
https://ieeexplore.ieee.org/document/9240623/,Pizza versus Pinsa: On the Perception and Measurability of Unit Test Code Quality,paper,Test Smell,Assertion Roulette,,Appears when a test includes a number of assertions without comments,FALSO,VERDADEIRO,VERDADEIRO
https://ieeexplore.ieee.org/document/9678615/,PyNose: A Test Smell Detector For Python,paper,Test Smell,Assertion Roulette,,Occurs when a test case has multiple non-documented assertions,FALSO,VERDADEIRO,VERDADEIRO
https://jrnl.nau.edu.ua/index.php/IPZ/article/download/3084/3036/0,Quality defects detection in unit tests,technical paper/manuscript,Test Smell,Assertion Roulette,,"It is hard to tell which of several assertions within the same test method caused a test failure. A test fails. Upon examining the output of the Test Runner, we cannot determine exactly which assertion failed",FALSO,VERDADEIRO,FALSO
https://dl.acm.org/doi/10.1145/3422392.3422510,RAIDE: a tool for Assertion Roulette and Duplicate Assert identification and refactoring,paper,Test Smell,Assertion Roulette,,occurs when the optional parameter for explaining the assertion structure is absent,FALSO,VERDADEIRO,FALSO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.19.5499&rep=rep1&type=pdf,Refactoring Test Code,paper,Test Smell,Assertion Roulette,,"This smell comes from having a number of assertions in a test method that have no explanation. If one of the assertions fails, you do not know which one it is",FALSO,VERDADEIRO,FALSO
https://www.sciencedirect.com/science/article/pii/S0164121219301487?casa_token=UT0EMFzxTcQAAAAA:L9J82_15tdySkabcIMSHKPx8rVkrltOzcwgme5cIBWgT0txJENY5y-BdUmCYUoGHnoEjZJH-cYc,Scented since the beginning: On the diffuseness of test smells in automatically generated test code,article,Test Smell,Assertion Roulette,,"this smell “comes from having a number of assertions in a test method that have no explanation”. Thus, if an assertion fails, the identification of the cause behind the failure can be difficult",FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3474624.3477070,Smart prediction for refactorings in the software test code,paper,Test Smell,Assertion Roulette,,A test method that contains assertion statements without an explanation message. Non documented assertions impact the test code readability and understandability,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3337932.3338815,SoCRATES: Scala radar for test smells,paper,Test Smell,Assertion Roulette,,Atest case that contains more than one assertion of which at least one does not provide a reason for assertion failure. This test smell encumbers identifying which assertion failed and the reason why,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Assertion Roulette,,A test method with multiple assertions without explanation messages,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3338906.3342500,Test-related factors and post-release defects: an empirical study,paper,Test Smell,Assertion Roulette,,Test classes having a large number of assertions without documentation,FALSO,FALSO,FALSO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.649.6409&rep=rep1&type=pdf,TestQ: Exploring Structural and Maintenance Characteristics of Unit Test Suites,paper,Test Smell,Assertion Roulette,,Test commands with lots of asserts without description,FALSO,FALSO,FALSO
https://search.proquest.com/openview/c52d821a4dd6ecb046957d9d6a532ae0/1?pq-origsite=gscholar&cbl=326341,The Relation of Test-Related Factors to Software Quality: A Case Study on Apache Systems,article,Test Smell,Assertion Roulette,,A test containing several assertions with no explanation.,FALSO,FALSO,VERDADEIRO
https://link.springer.com/article/10.1007/s10664-021-09969-1,The secret life of test smells-an empirical study on test smell evolution and maintenance,article,Test Smell,Assertion Roulette,,One test case may contain several assertions with no explanation. AR increases difficulties in comprehension,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3472674.3473981,Toward static test flakiness prediction: a feasibility study,paper,Test Smell,Assertion Roulette,,When atest method has multiple non-documented assertions.,FALSO,FALSO,FALSO
https://dibt.unimol.it/staff/fpalomba/documents/C14.pdf,Towards Automated Tools for Detecting Test Smells: An Empirical Investigation into the Nature of Test Smells,technical paper/manuscript,Test Smell,Assertion Roulette,,when a test case contains multiple assertions without properly documenting all of them,FALSO,VERDADEIRO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3368089.3417921,tsDetect: an open source test smells detection tool,paper,Test Smell,Assertion Roulette,,A test method contains more than one assertion statement without an explanation/message (parameter in the assertion method),FALSO,FALSO,FALSO
https://dl.acm.org/doi/abs/10.1145/3430665.3456328?casa_token=igLWdXV-fTYAAAAA:UZiEPkDc2-NRE6_Zi0Q9FRDeUjeyZcdVTLO9Kzk53cVuo7LC-nC7m690pw6vZpQmMfa5ktOcw2pvFw,Unit Test Smells and Accuracy of Software Engineering Student Test Suites,paper,Test Smell,Assertion Roulette,,"Individual unit tests that contain many assertions can be ""hard to tell which of several assertions within the same test method caused a test failure,""",FALSO,FALSO,FALSO
https://www.proquest.com/openview/17433ac63caf619abb410e441e6557f0/1?pq-origsite=gscholar&cbl=18750,What the Smell? An Empirical Investigation on the Distribution and Severity of Test Smells in Open Source Android Applications,thesis,Test Smell,Assertion Roulette,,Occurs when a test method has multiple nondocumented assertions.,FALSO,FALSO,VERDADEIRO
https://ieeexplore.ieee.org/document/8501942,What We Know About Smells in Software Test Code,technical paper/manuscript,Test Smell,Assertion roulette,,It is hard to tell which of several assertions within the same test method caused a test failure.,FALSO,FALSO,FALSO
https://www.sciencedirect.com/science/article/pii/S0164121221000364,Why do builds fail?—A conceptual replication study,article,Test Smell,Assertion Roulette,,"JUnit classes containing at least one method having more than one assertion statement, and having at least one assertion statement without explanation.",FALSO,FALSO,FALSO
https://books.google.com.br/books?hl=pt-BR&lr=&id=-izOiCEIABQC&oi=fnd&pg=PT19&dq=%22test+code%22+AND+(%22test*+smell*%22+OR+antipattern*+OR+%22poor+quality%22)&ots=YL71coYZkx&sig=s3U1TNqypvSAzSilSbex5lnHonk#v=onepage&q=%22test%20code%22%20AND%20(%22test*%20smell*%22%20OR%20antipattern*%20OR%20%22poor%20quality%22)&f=false,xUnit test patterns: Refactoring test code,book,Test Smell,Assertion Roulette,,It is hard to tell which of several assertions within the same test method caused a test failure.,FALSO,VERDADEIRO,FALSO
https://ieeexplore.ieee.org/document/7890581,An Empirical Study into the Relationship Between Class Features and Test Smells,paper,Test Smell,Assertion-free,,A test case without assertion,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Assertionless Test,,A test that does not contain at least one valid assertion,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Assertionless Test,,A test that is acting to assert data and functionality but does not,FALSO,FALSO,FALSO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.649.6409&rep=rep1&type=pdf,TestQ: Exploring Structural and Maintenance Characteristics of Unit Test Suites,paper,Test Smell,Assertionless Test,,Test commands that do not invoke asserts.,FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/document/8501942,What We Know About Smells in Software Test Code,technical paper/manuscript,Test Smell,Assertionless test,,A test method without any assertions.,FALSO,FALSO,FALSO
https://books.google.com.br/books?hl=pt-BR&lr=&id=-izOiCEIABQC&oi=fnd&pg=PT19&dq=%22test+code%22+AND+(%22test*+smell*%22+OR+antipattern*+OR+%22poor+quality%22)&ots=YL71coYZkx&sig=s3U1TNqypvSAzSilSbex5lnHonk#v=onepage&q=%22test%20code%22%20AND%20(%22test*%20smell*%22%20OR%20antipattern*%20OR%20%22poor%20quality%22)&f=false,xUnit test patterns: Refactoring test code,book,Test Smell,Asynchronous Code,,"A class cannot be tested via direct method calls. The test must start up an executable (such as a thread, process or application) and wait until it has finished starting up before interacting with it.",FALSO,VERDADEIRO,FALSO
https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,Bad comment rate,,the comment rate is too high or too low,FALSO,FALSO,FALSO
https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,Bad Comment Rate,,The comment rate is too high or too low,FALSO,FALSO,FALSO
https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,Bad documentation comment,,a documentation comment does not conform to its format,FALSO,FALSO,FALSO
https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,Bad Documentation Comment,,"A documentation comment does not conform to a given format, e.g. T3Doc",FALSO,FALSO,FALSO
https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,Bad naming,,an identifier does not conform to a given naming convention,FALSO,FALSO,FALSO
https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,Bad Naming,,An identifier does not conform to a given naming convention,FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/document/8501942,What We Know About Smells in Software Test Code,technical paper/manuscript,Test Smell,Bad naming,,The test method name is not meaningful and thus leads to low understandability.,FALSO,FALSO,FALSO
https://ieeexplore.ieee.org/abstract/document/6606682,Hunting for smells in natural language tests,paper,Test Smell,Badly Structured Test Suite,,The structure of the test suite does not follow the structure of the tested functionality,FALSO,VERDADEIRO,VERDADEIRO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Behavior Sensitivity,,Changes to the production code lead to the failure of tests.,FALSO,FALSO,VERDADEIRO
https://books.google.com.br/books?hl=pt-BR&lr=&id=-izOiCEIABQC&oi=fnd&pg=PT19&dq=%22test+code%22+AND+(%22test*+smell*%22+OR+antipattern*+OR+%22poor+quality%22)&ots=YL71coYZkx&sig=s3U1TNqypvSAzSilSbex5lnHonk#v=onepage&q=%22test%20code%22%20AND%20(%22test*%20smell*%22%20OR%20antipattern*%20OR%20%22poor%20quality%22)&f=false,xUnit test patterns: Refactoring test code,book,Test Smell,Behavior Sensitivity,,Behavior Sensitivity is when changes to the SUT cause other tests to fail.,FALSO,VERDADEIRO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Blinkered assertions,,"where the assertions are blind to the fact that the whole answer is wrong, because they’re focusing on a subset of the detail.",FALSO,FALSO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Boilerplate hell,,"where you can’t read the test because there’s so much code, perhaps a case of missing test data factory",FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Brittle Assertion,,A test method that has assertions that check data input,FALSO,FALSO,FALSO
https://jakescruggs.blogspot.com/2009/04/smells-of-testing-signs-your-tests-are.html,Smells of Testing (signs your tests are bad),webpage,Test Smell,Brittle Test,,"Tests that break all the time when small things change undermine the importance of test breakage. Examples are testing that a greeting is inside an ""h1"" in a view or the exact wording of text on the screen.",FALSO,FALSO,FALSO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Catching Unexpected Exceptions,,"If unexpected exceptions are caught, the tests can pass even if an exception is thrown.",FALSO,FALSO,VERDADEIRO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Celery data,,where the data read from the system under test is in a format which is hard to make meaningful assertions on – for example raw JSON Strings.,FALSO,FALSO,FALSO
https://digitaltapestry.net/testify/manual/AntiPatterns.html,Anti-Patterns - Digital Tapestry,webpage,Anti-pattern,Chain Gang,,"Two or more tests that must run in a certain order, i.e. one test changes the global state of the system and the next test(s) depend on it.",FALSO,FALSO,FALSO
https://www.sciencedirect.com/science/article/abs/pii/S0164121217303060,Smells in software test code: A survey of knowledge in industry and academia,article,Test Smell,Chain Gang,,"a couple of tests that must run in a certain order, i.e. one test changes the global state of the system (global variables, data in the database) and the next test(s) depends on it",FALSO,FALSO,FALSO
https://stackoverflow.com/questions/333682/unit-testing-anti-patterns-catalogue,Unit testing Anti-patterns catalogue,webpage,Anti-pattern,Chain Gang,,"A couple of tests that must run in a certain order, i.e. one test changes the global state of the system (global variables, data in the database) and the next test(s) depends on it.",FALSO,FALSO,FALSO
https://medium.com/swlh/anti-patterns-of-automated-software-testing-b396283a4cb6,Anti-patterns of automated testing,webpage,Anti-pattern,Changing implementation to make tests possible,,Changing the implementation solely for the sake of making testing possible,FALSO,VERDADEIRO,FALSO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Circumstantial evidence,,where the assertions are looking at things which are not direct proof of the behaviour,FALSO,FALSO,FALSO
https://jakescruggs.blogspot.com/2009/04/smells-of-testing-signs-your-tests-are.html,Smells of Testing (signs your tests are bad),webpage,Test Smell,Code Run Only by Tests,,Dead code (never touched in production) is very confusing to the developer trying to understand the system. Tested dead code doubly so.,FALSO,FALSO,FALSO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Commented Code in the Test,Under-the-carpet Failing Assertion,"The test passes but some assertions or parts of the setup, which would cause a test failure, are commented out",FALSO,FALSO,VERDADEIRO
https://jakescruggs.blogspot.com/2009/04/smells-of-testing-signs-your-tests-are.html,Smells of Testing (signs your tests are bad),webpage,Test Smell,Commented Code in the Test,,Commented out assertions or setup may mean someone took a quick path to making the test pass.,FALSO,FALSO,FALSO
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.115.3594&rep=rep1&type=pdf,A Refactoring Tool for TTCN-3,thesis,Test Smell,Comments,,"When something needs to be explained, it is probably better to move into a method with a descriptive name",FALSO,FALSO,FALSO
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,Comments Only Test,,All test-code put into comments,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3463274.3463335,Test Smell Detection Tools: A Systematic Mapping Study,paper,Test Smell,Comments Only Test,,A test that has been put into comments,FALSO,FALSO,FALSO
https://link.springer.com/article/10.1007/s10009-008-0075-0,An approach to quality engineering of TTCN-3 test specifications,article,Test Smell,Complex conditional,,a conditional expression is composed of many Boolean conjunctions,FALSO,FALSO,FALSO
https://link.springer.com/chapter/10.1007/978-3-540-73066-8_16,Utilising Code Smells to Detect Quality Problems in TTCN-3 Test Suites,paper,Test Smell,Complex Conditional,,A conditional expression is composed of many Boolean conjunctions.,FALSO,FALSO,FALSO
https://orbilu.uni.lu/handle/10993/48254,On the Maintenance of System User Interactive Tests,thesis,Test Smell,Conditional Assertions,,The test verifies different properties depending on the environment when the environment state may change from one execution to the next,FALSO,VERDADEIRO,VERDADEIRO
https://arxiv.org/abs/2111.02317,Smells in System User Interactive Tests,technical paper/manuscript,Test Smell,Conditional Assertions,,The test verifies different properties depending on the environment when the environment state may change from one execution to the next,FALSO,VERDADEIRO,VERDADEIRO
https://codingcraftsman.wordpress.com/2018/09/27/test-smells/,Test Smells - The Coding Craftsman,webpage,Test Smell,Conditional assertions,,"potentially a case of over exertion or diversion – the choice of assertion in a test appears to be a runtime choice, leading to tests whose objectives are harder to understand/guarantee.",FALSO,FALSO,FALSO
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.3631&rep=rep1&type=pdf,Rule-based Assessment of Test Quality,article,Test Smell,Conditional Logic,,"Breaks the linear execution path of a test, making it less obvious which parts of the tests get executed. This increases a test's complexity and maintenance costs.",FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3474624.3477066,Handling Test Smells in Python: Results from a Mixed-Method Study,paper,Test Smell,Conditional Logic Test,,Test methods that contain conditional statements,FALSO,FALSO,FALSO
https://arxiv.org/abs/2003.05613,A survey on test practitioners' awareness of test smells,paper,Test Smell,Conditional Test Logic,,"It occurs when tests present conditional logic (if-else or repeat instructions). Tests with this structure do not guarantee that the same flow is verified, besides allowing a particular piece of code not to be tested;",FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3387940.3392189,An Exploratory Study on the Refactoring of Unit Test Files in Android Applications,paper,Test Smell,Conditional Test Logic,,"A test method that contains one or more control statements (i.e., if, switch, conditional expression, for, foreach and while statement)",FALSO,FALSO,FALSO
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.696.5180&rep=rep1&type=pdf,Categorising Test Smells,thesis,Test Smell,Conditional Test Logic,"Indented Test Code, Guarded Test",This is a test that contains either boolean branching logics like if/else-statements or loops like while. Such conditionals can lead to unpredictable results and decrease the understandability of the code.,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/10.1145/3379597.3387471,Did You Remember To Test Your Tokens?,paper,Test Smell,Conditional Test Logic,,"The test case contains code that may or may not be executed [24, 26]. For example, we observed several instances of this smell in tests for the Token passed to authenticating servlet filter via HTTP request scenario. For example, some tests traversed different configurations in a loop, so the action performed during the test was dependent on the current configuration. This smell complicates reasoning about the actual authentication code and the path taken during test execution; which branch was taken or which iteration failed.",FALSO,VERDADEIRO,FALSO
https://lutpub.lut.fi/handle/10024/158751,Enhancing developers’ awareness on test suites’ quality with test smell summaries,thesis,Test Smell,Conditional Test Logic,Indented test code,A test contains code that may or may not be executed,FALSO,FALSO,FALSO
https://dl.acm.org/doi/abs/10.5555/1768961.1768982,Inspecting Automated Test Code: A Preliminary Study,paper,Test Smell,Conditional test logic,,A test case contains conditional logic within selection or repetition structures,FALSO,FALSO,VERDADEIRO
https://dl.acm.org/doi/abs/10.1145/3379597.3387453,Investigating Severity Thresholds for Test Smells,paper,Test Smell,Conditional Test Logic,,Atest that has control flowstatements inside a test,FALSO,FALSO,FALSO
https://dl.acm.org/doi/10.1145/3482909.3482915,Investigating Test Smells in JavaScript Test Code,paper,Test Smell,Conditional Test Logic,,"A test method contains one or more control statements, whereas it should be simple and execute all statements",FALSO,FALSO,VERDADEIRO
