Category,Subcategory,Name,Sources,AKA,Code Example,Causes / Effects,Frequency,Refactoring
Test semantic/logic,Other test logic related,Factories with random data instead of sequences,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Fantasy Tests,2,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many units,Feature Envy,1,,FALSE,FALSE,FALSE,TRUE
Test semantic/logic,Testing many things,Field-level assertion,1,,FALSE,TRUE,FALSE,TRUE
Code related,In association with production code,Fire And Forget,3,Plate-Spinning,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Flaky locator,1,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Flaky test,7,,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Flexible Test,1,,TRUE,TRUE,FALSE,TRUE
Code related,In association with production code,For Testers Only,15,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Fragile Fixture,2,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Fragile Locators,1,,TRUE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Fragile Tests,8,Brittle Test,TRUE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Frequent Debugging,5,Manual Debugging,FALSE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Fully Rotten Green Test,2,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Fully-Parameterized Template,3,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Fuzzy assertions,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,General Fixture,46,Badly Used Fixture,TRUE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Generative,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in teardown,Generous Leftovers,4,Wet Floor,FALSE,FALSE,TRUE,FALSE
Test semantic/logic,Other test logic related,Get really clever and use random numbers in your tests,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Goto Statement,3,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Ground zero,1,,TRUE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Guarded Test,3,,TRUE,TRUE,TRUE,TRUE
Code related,Code duplication,Half a helper method,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Happenstance testing,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Happy Path,7,,TRUE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Hard-Coded Test Data,2,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Hard-Coded Values,2,,TRUE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Hard-to-Test Code,6,,FALSE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,hard-to-write test,1,,FALSE,TRUE,FALSE,FALSE
Code related,Complex / Hard to understand,Hardcoded environment,3,,FALSE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Hardcoded literals,1,,TRUE,FALSE,FALSE,TRUE
Test execution / behavior,Performance,Hardcoded sleep,1,,TRUE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Hardcoded test data,1,Magic Strings,FALSE,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Having flaky or slow tests,1,,FALSE,TRUE,FALSE,FALSE
Code related,Complex / Hard to understand,Herp Derp,1,,TRUE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Hidden Complexity,1,,FALSE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Hidden Dependency,6,,FALSE,FALSE,TRUE,FALSE
Dependencies,External dependencies,Hidden Integration Test,1,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Hidden Meaning,1,,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Hidden test call,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Hidden Test Data,2,,FALSE,TRUE,TRUE,TRUE
Code related,In association with production code,Hooks everywhere,1,Testing Causes an Abstraction Virus,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,I wrote it like this,1,,FALSE,FALSE,FALSE,FALSE
Design related,Not using test patterns,I'll believe it when I see some flashing GUIs,2,,FALSE,FALSE,FALSE,FALSE
Dependencies,Dependencies among tests,Identity Dodgems,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Idle PTC,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Ignored Test,21,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in teardown,Improper clean up after tests have been run,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Improper Test Method Location,1,,FALSE,TRUE,FALSE,FALSE
Issues in test steps,Issues in assertions,Inadequate Assertion,1,,TRUE,TRUE,TRUE,FALSE
Issues in test steps,Issues in assertions,Inappropriate Assertions,1,Wrong Assert,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in setup,Inappropriately Shared Fixture,2,,FALSE,FALSE,TRUE,FALSE
Issues in test steps,Issues in assertions,Incidental coverage,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Incidental details,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Inconsistent Hierarchy,1,,FALSE,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Inconsistent Wording,1,,FALSE,TRUE,TRUE,FALSE
Code related,In association with production code,Indecent exposure,1,,FALSE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Indecisive,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Indented Test,2,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Testing many units,Indirect Testing,21,,TRUE,TRUE,TRUE,TRUE
Test execution / behavior,Performance,Inefficient waits,1,,FALSE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Insufficient grouping,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,"Integration test, masquerading as unit test",1,,FALSE,FALSE,FALSE,FALSE
Dependencies,Dependencies among tests,Interacting Test Suites,2,,TRUE,TRUE,TRUE,TRUE
Dependencies,Dependencies among tests,Interacting Tests,3,,FALSE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Interactive Test,1,,FALSE,TRUE,FALSE,FALSE
Code related,In association with production code,Interface Sensitivity,2,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Intermittent Test Failures,1,,FALSE,TRUE,FALSE,FALSE
Test semantic/logic,Other test logic related,Invalid test data,1,,FALSE,FALSE,FALSE,FALSE
Test semantic/logic,Other test logic related,Invasion Of Privacy,2,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,Invisible Assertions,1,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in setup,Irrelevant Information,2,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Is Mockito Working Fine?,1,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Is There Anybody There?,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Isolated PTC,2,,TRUE,TRUE,FALSE,TRUE
Issues in test steps,Issues in exception handling,Issues in Exception Handling,1,The Silent Catcher,FALSE,TRUE,FALSE,FALSE
Code related,Complex / Hard to understand,It looks right to me,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in teardown,It was like that when I got here,1,,FALSE,FALSE,FALSE,FALSE
Code related,Complex / Hard to understand,Keyword Driven Testing,1,,TRUE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Lack Comments,1,,TRUE,TRUE,TRUE,FALSE
Dependencies,Dependencies among tests,Lack of Cohesion of Test Cases,1,,FALSE,TRUE,TRUE,FALSE
Dependencies,Dependencies among tests,Lack of Cohesion of Test Methods,6,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Lack of Encapsulation,3,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Lack of Macro Events,1,,FALSE,FALSE,FALSE,TRUE
Issues in test steps,Issues in setup,Large Fixture,1,,FALSE,FALSE,TRUE,FALSE
Code related,Complex / Hard to understand,Large Macro Component,1,,FALSE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Large Module,1,Large Class,FALSE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Large Test File,1,,FALSE,FALSE,FALSE,TRUE
Test semantic/logic,Other test logic related,Lazy Test,27,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in teardown,Leaving temporary files behind,1,,TRUE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Likely ineffective Object-Comparison,3,,TRUE,TRUE,TRUE,FALSE
Issues in test steps,Issues in assertions,Line hitter,2,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Literal Pollution,1,,TRUE,TRUE,FALSE,FALSE
Dependencies,Dependencies among tests,Litter Bugs,1,test pollution,TRUE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Local Only Testing,2,,TRUE,TRUE,FALSE,FALSE
Test semantic/logic,Other test logic related,London School Orthodoxy,1,,TRUE,TRUE,FALSE,TRUE
Dependencies,Dependencies among tests,Lonely Test,2,,FALSE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Long class,1,,FALSE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Long Function,1,Long Method,FALSE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Long Macro Event,1,Long Keyword,FALSE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Long method,1,,FALSE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Long Parameter List,5,,TRUE,TRUE,FALSE,TRUE
Test execution / behavior,Performance,Long Running Tests,1,,FALSE,FALSE,FALSE,TRUE
Code related,Complex / Hard to understand,Long statement block,3,,TRUE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Long Test,6,"Obscure Test, Verbose Test, Complex Test",TRUE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Long Test Steps,3,,FALSE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Long/complex/verbose/obscure test,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Lost Test,1,,FALSE,TRUE,FALSE,TRUE
Code related,Complex / Hard to understand,Magic Number Test,25,,TRUE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Magic values,3,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Making a mockery of design,1,,FALSE,FALSE,FALSE,FALSE
Test execution / behavior,Other test execution / behavior,Manual Assertions,1,,FALSE,FALSE,FALSE,TRUE
Test execution / behavior,Other test execution / behavior,Manual Event Injection,2,,FALSE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Manual Fixture Setup,2,,FALSE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Manual Intervention,4,"Interactive Test, Manual Testing, Manual Test, ",FALSE,TRUE,TRUE,TRUE
Test execution / behavior,Other test execution / behavior,Manual Result Verification,2,,FALSE,TRUE,TRUE,TRUE
Test semantic/logic,Testing many things,Many Assertions,1,,FALSE,FALSE,FALSE,TRUE
Issues in test steps,Issues in assertions,Martini Assertion,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Max Instance Variables,2,,FALSE,FALSE,TRUE,FALSE
Code related,Violating coding best practices,Meaningless variable names,1,,TRUE,FALSE,FALSE,TRUE
Code related,Violating coding best practices,Messy Test,1,,TRUE,TRUE,FALSE,FALSE
Test semantic/logic,Testing many things,Method-based testing,1,,FALSE,TRUE,FALSE,TRUE
Dependencies,External dependencies,Middle Man,3,,FALSE,TRUE,TRUE,TRUE
Code related,Mock and stub related,Mismatched stubs,1,,TRUE,TRUE,TRUE,FALSE
Issues in test steps,Issues in assertions,Missed fail rotten green test,2,,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Missed skip rotten green test,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many things,Missing Assertion Message,2,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,Missing Assertions,4,,TRUE,TRUE,TRUE,TRUE
Design related,Not using test patterns,Missing log,3,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Missing parameterised test,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,Missing Test,1,,FALSE,FALSE,FALSE,FALSE
Code related,Code duplication,Missing test data factory,1,,TRUE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Missing variable definition,3,UR data flow anomaly,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Missing verdict,3,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Mistaken identity,1,,FALSE,FALSE,FALSE,FALSE
Code related,Violating coding best practices,Mixed Selectors,4,,FALSE,TRUE,TRUE,FALSE
Code related,In association with production code,Mixing Production and Test Code,1,,FALSE,FALSE,FALSE,TRUE
Code related,Mock and stub related,Mock everything,1,,FALSE,FALSE,FALSE,TRUE
Code related,Mock and stub related,Mock Happy,3,"Mock-Overkill, The Mockery",FALSE,FALSE,TRUE,TRUE
Code related,Mock and stub related,Mock madness,1,,FALSE,FALSE,FALSE,FALSE
Code related,Mock and stub related,Mock'Em All,1,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Mockers Without Borders,1,,TRUE,TRUE,FALSE,TRUE
Code related,Mock and stub related,Mocking a Mocking Framework,1,,FALSE,FALSE,FALSE,FALSE
Code related,Mock and stub related,Mocking What You Don'T Own,2,,FALSE,FALSE,FALSE,TRUE
Code related,Mock and stub related,Mockito Any vs Isa,1,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Testing many things,Multiple Assertions,1,,TRUE,TRUE,FALSE,TRUE
Code related,In association with production code,Multiple points of failure,1,,FALSE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Multiple Test Conditions,1,,TRUE,TRUE,FALSE,TRUE
Code related,Code duplication,Multiple tests testing the same or similar things,1,,FALSE,FALSE,FALSE,FALSE
Dependencies,External dependencies,Mystery Guest,50,External Data,TRUE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Name-clashing Import,1,,TRUE,TRUE,FALSE,TRUE
Design related,Not using test patterns,Narcissistic,2,,FALSE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Nested conditional,3,,TRUE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Neverfail Test,1,,FALSE,TRUE,FALSE,TRUE
Issues in test steps,Issues in assertions,No Assertions,4,"Lying Test, Assertionless Test, The Line Hitter",TRUE,TRUE,TRUE,TRUE
Design related,Not using test patterns,No clear structure within the test,1,,FALSE,TRUE,FALSE,TRUE
Issues in test steps,Issues in exception handling,No error handling in tests,1,,TRUE,FALSE,FALSE,FALSE
Design related,Not using test patterns,No structure when creating test cases,1,,FALSE,FALSE,FALSE,FALSE
Issues in test steps,Issues in assertions,No traces left,1,,FALSE,FALSE,FALSE,TRUE
Issues in test steps,Issues in setup,Noisy Logging,2,,FALSE,TRUE,TRUE,TRUE
Issues in test steps,Issues in setup,Noisy setup,1,,TRUE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Non-Functional Statement,2,,FALSE,TRUE,TRUE,TRUE
Code related,Violating coding best practices,Nondeterministic Test,2,,TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in teardown,Not Idempotent,2,Interacting Test With High Dependency,FALSE,FALSE,TRUE,TRUE
Design related,Not using test patterns,Not using page-objects,1,,TRUE,FALSE,FALSE,FALSE
Issues in test steps,Issues in setup,Obscure In-Line Setup,5,"Max Instance Variables, Overly large fixture",FALSE,TRUE,TRUE,TRUE
Code related,Complex / Hard to understand,Obscure Test,13,"Long Test, Complex Test, Verbose TestLong Test, Complex Test, Verbose Test",TRUE,TRUE,TRUE,TRUE
Issues in test steps,Issues in assertions,On the Fly,2,,FALSE,TRUE,TRUE,TRUE
Test semantic/logic,Other test logic related,Only Easy Tests,1,,FALSE,TRUE,FALSE,TRUE
Test semantic/logic,Other test logic related,Only Happy Path Tests,1,,FALSE,TRUE,FALSE,TRUE
Code related,Violating coding best practices,Opaque output,1,,FALSE,FALSE,FALSE,FALSE
